round_no,year,yosou_no,anchor,date_key,date1,date2,j1_competition_id,j1_section_id,j2_competition_id,j2_section_id
3,2001,1,1,20010310,20010310,20010311,129,1121,132,1153
4,2001,1,2,20010317,20010317,,129,1122,132,1154
5,2001,2,1,20010331,20010331,,129,1123,132,1156
6,2001,2,2,20010407,20010407,,129,1124,132,1157
7,2001,3,1,20010414,20010414,,129,1125,132,1158
8,2001,3,2,20010429,20010429,,129,1126,132,1160
9,2001,4,1,20010503,20010503,,129,1127,132,1161
10,2001,4,2,20010506,20010506,,129,1128,132,1162
11,2001,5,1,20010512,20010512,,129,1129,132,1163
12,2001,5,2,20010519,20010519,,129,1130,132,1164
13,2001,6,1,20010616,20010616,,129,1131,132,1167
14,2001,6,2,20010623,20010623,,129,1132,132,1168
15,2001,7,1,20010707,20010707,,129,1133,132,1170
16,2001,7,2,20010714,20010714,,129,1134,132,1172
17,2001,8,1,20010721,20010721,,129,1135,132,1173
18,2001,8,2,20010811,20010811,,130,1136,132,1177
19,2001,9,1,20010818,20010818,,130,1137,132,1179
20,2001,9,2,20010825,20010825,,130,1138,132,1180
21,2001,10,1,20010908,20010908,,130,1139,132,1183
22,2001,10,2,20010915,20010915,,130,1140,132,1184
23,2001,11,1,20010922,20010922,,130,1141,132,1186
24,2001,11,2,20010929,20010929,,130,1142,132,1187
25,2001,12,1,20011013,20011013,,130,1143,132,1189
26,2001,12,2,20011017,20011017,,130,1144,132,1190
27,2001,13,1,20011020,20011020,,130,1145,132,1191
28,2001,13,2,20011031,20011031,,130,1146,132,1192
29,2001,14,1,20011103,20011103,,130,1147,132,1193
30,2001,14,2,20011110,20011110,,130,1148,132,1195
31,2001,15,1,20011117,20011117,,130,1149,132,1196
